"Authors","Year","Title","Venue","VenueType","Citation","ResearchQuestion"
"Li, Abarbanell, Gleitman, Papafragou",2011,"Spatial reasoning in Tenejapan Mayans","Cognition","Journal","Li, P., Arbabanelle, L., Geitman, L., & Papafragou, A. (2011). Spatial reasoning in Tenejapan Mayans. Cognition, 120, 33-53.","Does the left/right binary exist in Tenejapan Mayans' spatial reasoning"
"Marghetis, McComsey, Cooperrider",2020,"Space in Hand and Mind: Gesture and Spatial Frames of Reference in Bilingual Mexico","Cognitive Science","Journal","Marghetis, T., McComsey, M., & Cooperrider, K. (2020). Space in hand and mind: Gesture and spatial frames of reference in bilingual Mexico. Cognitive Science, 44(12).","How is FoR use reflected in gesture in Zapotec-dominant and Zapotec-Spanish Bilinguals?"
"Meakins, Jones, Algy",2016,"Bilingualism, language shift and the corresponding expansion of spatial cognitive systems","Language Sciences","Journal","Meakins, F., Jones, C., & Algy, C. (2016). Bilingualism, language shift and the corresponding expansion of spatial cognitive systems. Language Sciences, 54, 1-13.","Does an allo-centric language with incorporated parts of an ego-centric language as well as exposure to egocentrism affect preferred FoR"
"Mishra, Dasen",2013,"Development of spatial language and cognition in Hindi- and Sanskrit-medium schools","Psychological Studies","Journal","Mishra, R. C. & Dasen, P. R. (2013). Development of spatial language and cognition in Hindi-and Sanskrit-medium schools. Psychological Studies, 58(4), 446-455.","Do Sanskrit and Hindi school children differ in their preferred FoRs"
"Mishra, Jha",2018,"Effect of Hindi, Sanskrit, and Urdu medium schooling on spatial language and encoding","Journal of Cultural Cognitive Science","Journal","Mishra, R. C. & Jha, R. K. (2018). Effect of Hindi, Sanskrit and Urdu medium schooling on spatial language and encoding. Journal of Cultural Cognitive Science, 2(1-2), 9-20.","Do Sanskrit-, Hindi-, and Urdu-medium schooling impact preferrence for and performance of spatial FoRs"
"Mishra, Dasen, Niraula",2003,"Ecology, language, and performance on spatial cognitive tasks","International Journal of Psychology","Journal","Mishra, R. C., Dasen, P. R., Niraula, S. (2003). Ecology, language, and performance on spatial cognitive tasks. International Journal of Psychology, 38 (6), 366-383.","How do differences in culture and environment between Nepal and India impact preferences for specific FoR"
"Mishra, Singh, Dasen",2009,"Geocentric dead reckoning in Sanskrit- and Hindi-medium school children","Culture & Psychology","Journal","Mishra, R. C., Singh, S., & Dasen, P. R. (2013). Development of spatial language and cognition in Hindi-and Sanskrit-medium schools. Psychological Studies, 58(4), 446-455.","How do children who predominantly use a geocentric FoR perform on dead reckoning tasks in unfamiliar environments"
"Mou, McNamara, Rump, Xiao",2006,"Roles of egocentric and allocentric spatial representations in locomotion and reorientation","Journal of Experimental Psychology: Learning, Memory, Cognition","Journal","Mou, W., McNamara, T., Rump, B., Xiao, C. (2006). Roles of egocentric and allocentric spatial representations in locomotion and reorientation. Journal of Experimental Psychology: Learning, Memory, and Cognition, 32 (6), 1274-1290.","What FoRs are preferred after reorienation and disorientation"
"Nikitina",2018,"Frames of reference in discourse: Spatial descriptions in Bashkir (Turkic)","Cognitive Linguistics","Journal","Nikitina, Tatiana. ""Frames of reference in discourse: Spatial descriptions in Bashkir (Turkic) "" Cognitive Linguistics, vol. 29, no. 3, 2018, pp. 495-544. ","What spatial FoRs are preferred by speakers of Bashkir?"
"Núñez, Celik, Nakagawa",2019,"Absolute spatial frames of reference in bilingual speakers of endangered Ryukyuan languages: an assessment via a novel gesture elicitiaton paradigm","Proceedings of the 41st Annual Conference of the Cognitive Science Society","Conference","Núñez, R., Celik, K., & Nakagawa, N. (2019). Absolute Spatial Frames of Reference in Bilingual Speakers of Endangered Ryukyuan Languages: An Assessment via a Novel Gesture Elicitation Paradigm. In A.K. Goel, C.M. Seifert, & C. Freksa (Eds.), Proceedings of the 41st Annual Conference of the Cognitive Science Society (pp. 890-896). Cognitive Science Society.","How do the gestures of bilingual speakers of egocentric and allocentric languages reflect preferences for specific FoRs"
"O'Meara",2011,"Spatial frames of reference in Seri","Language Sciences","Journal","O’Meara, C. (2011). Spatial frames of reference in Seri. Language Sciences, 33(6), 1025-1046.","What spatial FoRs are preferred by speakers of Seri"
"Pederson, Danziger, Wilkins, Levinson, Kita, Senft",1998,"Semantic typology and spatial conceptualization","Language","Journal","Pederson, E., Danziger, E., Wilkins, D. P., Levinson, S. C., Kita, S., Senft, G. (1998). Semantic typology and spatial conceptualization. Language, 74(3), 557-589.","Does FoR preference differ cross-culturally"
"Pitt, Carstensen, Gibson, Piantadosi",2021,"Variation in spatial concepts: Different frames of reference on different axes","Proceedings of the Annual Meeting of the Cognitive Science Society","Journal","Pitt, B., Carstensen, A., Gibson, E., & Piantadosi, S. (2021). Variation in spatial concepts: Different frames of reference on different axes. Proceedings of the Annual Meeting of the Cognitive Science Society, 43.","How does FoR use vary across the lateral and sagittal spatial axes?"
"Polian, Bohnemeyer",2011,"Uniformity and variation in Tseltal reference frame use","Language Sciences","Journal","Polian, G. & Bohnemeyer, J. (2011). Uniformity and variation in Tseltal reference frame use. Language Sciences, 33(6), 868-891.","How do environmental factors contribute to allocentric FoRs in Tseltal and how are FoRs used"
"Romero-Méndez",2011,"Frames of reference and topological descriptions in Ayutla Mixe","Language Sciences","Journal","Romero-Méndez, R. (2011). Frames of reference and topological descriptions in Ayutla Mixe. Language Sciences, 33(6), 915-942.","What spatial FoRs are preferred by speakers of Mixe languages"
"Sekine",2009,"Changes in frame of reference use across the preschool years: a longitudinal study of the gestures and speech produced during route descriptions","Language and Cognitive Processes","Journal","Sekine, K. (2009). Changes in frame of reference use across the preschool years: A longitudinal study of the gestures and speech produced during route descriptions. Language and Cognitive Processes, 24(2), 218-238.","How do spontaneous gestures indicating FoR develop in children?"
"Senft",1994,"Spatial reference in Kilivila: The Tinkertoy matching games–A case","Language and Linguistics in Melanesia","Journal","Senft, G. (1994). Spatial reference in Kilivila: The Tinkertoy matching games–A case study. Language and Linguistic in Melanesia, 25, 55-93.","What spatial FoRs are preferred by speakers of Kilivila"
"Shapero",2016,"Does Environmental Experience Shape Spatial Cognition? Frames of Reference Among Ancash Quechua Speakers (Peru)","Cognitive Science","Journal","Shapero Joshua, A. (2017). Does Environmental Experience Shape Spatial Cognition? Frames of Reference Among Ancash Quechua Speakers. Cognitive Science 41 (5):1274-1298.","What is the role of environmental experience in shaping spatial cognition?"
"Soto",2010,"The ""uphill"" and ""downhill"" system in Meseño Cora","Language Sciences","Journal","Soto, V. V. (2011). The “uphill” and “downhill” system in Meseño Cora. Language Sciences, 33(6), 981-1005.","What spatial FoRs are preferred by speakers of Meseño Cora"
"Takekuro",2007,"Language and gesture on Ishigaki Island","Proceedings from Annual Meeting of the Berkeley Linguistics Society","Conference Proceedings","Takekuro, M. (2007, November). Language and gesture on Ishigaki Island. Annual Meeting of the Berkeley Linguistics Society, 33 (1), 412-423.","How do people on Ishigaki Island convey spatial reasoning to others linguistically and gesturally?"
"Vorworg, Weiß",2010,"Verb semantics affects the interpretations of spatial prepositions","Spatial Cognition and Computation","Journal","Vorwerg, C. & Weiß, P. (2010). Verb semantics affects the interpretation of spatial prepositions. Spatial Cognition & Computation, 10(4), 247-291.","Do verb-semantics influence FoR?"
"Wassmann, Dasen",1998,"Balinese Spatial Orientation: Some Empirical Evidence of Moderate Linguistic Relativity","The Journal of the Royal Anthropological Institute","Journal","Wassmann, J. & Dasen, P. R. (1998). Balinese spatial orientation: Some empirical evidence of moderate linguistic relativity. The Journal of the Royal Anthropological Institute, 4(2), 689-711.","What spatial FoRs are used by Balinese speakers?"
"Xie, Li, Tao, Wei, Sun",2017,"Representing spatial layout according to intrinsix frames of reference: limitations from position regularity and instructions","Psychological Reports","Journal","Xie, C., Li, S., Tao, W., Wei, Y., & Sun, H. J. (2017). Representing spatial layout according to intrinsic frames of reference: Limitations from position regularity and instructions. Psychological Reports, 120(5), 846-869.","Does layout regularity and learning instruction influence spatial FoR representations"
"Pederson, Danziger, Wilkins, Levinson, Kita, Senft",1998,"Semantic Typology and Spatial Conceptualization","Linguistic Society of America","Journal","Pederson, E., Danziger, E., Wilkins, D., Levinson, S., Kita, S., & Senft, G. (1998). Semantic Typology and Spatial Conceptualization. Language, 74(3), 557–589. https://doi.org/10.2307/417793",""" The primary goal of our project is to test, refine, and reformulate hypotheses about language and human cognition drawing on in-depth information from a broad sample of non(Indo-)European languages and cultures."""
"Pederson",1993,"Geographic and manipulable space in two Tamil linguistic systems","European Conference on Spatial Information Theory?","Conference paper","Pederson, E. (1993). Geographic and manipulable space in two Tamil linguistic systems. In: Frank, A.U., Campari, I. (eds) Spatial Information Theory A Theoretical Basis for GIS. COSIT 1993. Lecture Notes in Computer Science, vol 716. Springer, Berlin, Heidelberg. https://doi.org/10.1007/3-540-57207-4_20",""
