Domain,Authors,Year,Title,Venue,VenueType,Citation,ResearchQuestion,SpaceTask,DependentMeasurePrimary,Scale,FoR,FoR_In_Task,PerformanceIfRestrictedFoR,Discussion_Notes,CoderName,PublishingLanguage,StudyNumber,TaskID,Country,SpecificLocation,LocationNotes,UrbanRural,UrbanRuralCertainty,Language,LanguageNotes,WALSCode,ISOCode,GlottologCode,CulturalGroup,CulturalGroupNotes,OverallNotes,PrivateNotes,GroupSampleSize,StudySampleSize,RepeatedParticipantsWithinStudy,FunRating
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,"Participants were asked to follow movement commands that contained left/right language (i.e. ""Lift your left arm) both while facing toward and away from the researcher.",Accuracy,small,ego,ego,good,~77% respond correctly,Ortega,English,1,d,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"16 girls, 11 boys Mage = 11.65 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,27,80,27,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,"Participants were asked to follow movement commands that contained left/right language (i.e. ""Lift your left arm) both while facing toward and away from the researcher.",Accuracy,small,ego,ego,good,~65% respond accurately,Naik,English,1,d,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,rural,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan rural area,"13 girls, 17 boys, Mage = 11.40 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,30,80,30,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,"Participants labeled a sheep figurines left and right sides then related this to their own body either by speaking about their own L/R (language group), through arm/hand movements (gesture group), or didn't receive training at all (control group.)  Participants then completed the Coin Search Task from 1a above.",LanguageProductionSpoken,small,ego,ego,good,"Both trainings were more effective than the control. When prompted to apply their training in the coin search task, both trainings were significantly more effective than the control. Without prompting, only the gesture group showed significant improvement. However, only the language group spoke in L/R terms spontaneously while the gesture and control groups did not. Although 100% of the language group used L/R terms, only 33% used them correctly. ",Ortega,English,2,a,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan in municipal center,urbans,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"31 children aged 10-13. 15 girls, 16 boys",,,31,31,0,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,"Participants labeled a sheep figurines left and right sides then related this to their own body either by speaking about their own L/R (language group), through arm/hand movements (gesture group), or did not receive training at all (control group.)  Participants then completed the Self Task from 1d above.",Accuracy,small,ego,ego,bad,"The language, gesture and control groups showed no significant difference from their pre-trial results. ",Ortega,English,2,b,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan in municipal center,rural,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"31 children aged 10-13. 15 girls, 16 boys",,,31,31,31,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Which FoRs are preferred by monolingual spanish speaker in Santa María Ixcatlán?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the open-ended condition participants were simply instructed to “place the animals in the same way” at the second table.",ObjectPlacement,small,ego,ego/allo,,The distribution confirmed that the children’s preferences aligned with the dominant frame of reference in their language.,Ortega,English,1,a,United States,"Cambridge, Massachusetts, United States",,urbanl,3,Us-English,,eng,,,English-speaking children between the ages of seven to ten,mean age 7.93years; SD = .83),,,14,39,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the open-ended condition participants were simply instructed to “place the animals in the same way” at the second table.",ObjectPlacement,small,allo,ego/allo,,The distribution confirmed that the children’s preferences aligned with the dominant frame of reference in their language.,Ortega,English,1,a,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,mean age 9.21; SD = .89,,,14,46,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Ego-to-Geo condition, participants were instructed to replicate the arrays using an egocentric solution for the first block of trials, followed by geocentric instructions for the second block.",ObjectPlacement+Accuracy,small,ego,ego,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,b,United States,"Cambridge, Massachusetts, United States",,urbanl,3,Us-English,,eng,,,English-speaking children between the ages of seven to ten,mean age 8.31; SD = 1.03,,,13,39,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Ego-to-Geo condition, participants were instructed to replicate the arrays using an egocentric solution for the first block of trials, followed by geocentric instructions for the second block.",ObjectPlacement+Accuracy,small,allo,allo,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,b,United States,"Cambridge, Massachusetts, United States",,urbanl,3,Us-English,,eng,,,English-speaking children between the ages of seven to ten,mean age 8.31; SD = 1.03,,,13,39,13,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Ego-to-Geo condition, participants were instructed to replicate the arrays using an egocentric solution for the first block of trials, followed by geocentric instructions for the second block.",ObjectPlacement+Accuracy,small,ego,ego,bad,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials.",Ortega,English,1,b,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,"mean age 8.06, SD = .68","Used the Spanish terms to express the ideas of “left” (izquierda) and “right” (derecha) to Tseltal speakers, although all other instructions were given in Tseltal. All of the Tseltal-speaking children in the sample were currently attending school where teachers report explicitly teaching and using a left/right system in Spanish.",,16,46,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Ego-to-Geo condition, participants were instructed to replicate the arrays using an egocentric solution for the first block of trials, followed by geocentric instructions for the second block.",ObjectPlacement+Accuracy,small,allo,allo,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials.",Ortega,English,1,b,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,"mean age 8.06, SD = .68","Used the Spanish terms to express the ideas of “left” (izquierda) and “right” (derecha) to Tseltal speakers, although all other instructions were given in Tseltal. All of the Tseltal-speaking children in the sample were currently attending school where teachers report explicitly teaching and using a left/right system in Spanish.",,16,46,16,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Geo-to-Ego condition, participants were instructed to replicate the arrays using an geocentric solution for the first block of trials, followed by egocentric instructions for the second block.",ObjectPlacement+Accuracy,small,allo,allo,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%).However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,c,United States,"Cambridge, Massachusetts, United States",,urbanl,3,Us-English,,eng,,,English-speaking children between the ages of seven to ten,mean age 7.92; SD = .67,,,12,39,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Geo-to-Ego condition, participants were instructed to replicate the arrays using an geocentric solution for the first block of trials, followed by egocentric instructions for the second block.",ObjectPlacement+Accuracy,small,ego,ego,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%).However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,c,United States,"Cambridge, Massachusetts, United States",,urbanl,3,Us-English,,eng,,,English-speaking children between the ages of seven to ten,mean age 7.92; SD = .67,,,12,39,12,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Geo-to-Ego condition, participants were instructed to replicate the arrays using an geocentric solution for the first block of trials, followed by egocentric instructions for the second block.",ObjectPlacement+Accuracy,small,allo,allo,good,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,c,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,"mean age 8.94, SD = 1.00","Used the Spanish terms to express the ideas of “left” (izquierda) and “right” (derecha) to Tseltal speakers, although all other instructions were given in Tseltal. All of the Tseltal-speaking children in the sample were currently attending school where teachers report explicitly teaching and using a left/right system in Spanish.",,16,46,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Can English and Tseltal speakers flexibly use the opposite FoR?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task.) In the Geo-to-Ego condition, participants were instructed to replicate the arrays using an geocentric solution for the first block of trials, followed by egocentric instructions for the second block.",ObjectPlacement+Accuracy,small,ego,ego,bad,"The effect of block order was not significant. English-speakers (70.14% correct) did better than the Tseltal (51.51%). However, this interaction was not due to the English-speaking children performing better on the egocentric than the geocentric trials and vice versa for the Tseltal-speaking children. Both language groups performed better on the geocentric than the egocentric trials. ",Ortega,English,1,c,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,"mean age 8.94, SD = 1.00","Used the Spanish terms to express the ideas of “left” (izquierda) and “right” (derecha) to Tseltal speakers, although all other instructions were given in Tseltal. All of the Tseltal-speaking children in the sample were currently attending school where teachers report explicitly teaching and using a left/right system in Spanish.",,16,46,16,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Will Tseltal children do better with the egocentric FoR when left/right terms aren't explicitly used?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task) after being trained to do so in the egocentric manner. Instead of using left/right terms, children were taught using the word ""side"" based on their own bodies.",ObjectPlacement+Accuracy,small,ego,ego,good,"The percent correct on the test trials were compared with the performance of the Tseltal-speaking children in the Ego to-Geo condition from Experiment 1. Participants in Experiment 2 (73.44% correct) did better than Experiment 1 (53.26% correct). Therefore, the Tseltal children can use an egocentric system when instructed nonverbally without left/right language. The post-experiment language assessment revealed that these children had not fully acquired the left/right terms when asked to describe the orientation of a doll as they pleased. ",Ortega,English,2,,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,mean age 7.88 years; SD = .62,tested under same conditions as Experiment 1 to remain consistent in comparison,,16,16,0,
Space,"Abarbanell, Montana, Li",2011,Revisiting the plasticity of human spatial cognition,International Conference on Spatial Information Theory,Conference Proceedings,"Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.",Will Tseltal children do better with the egocentric FoR when left/right terms aren't explicitly used?,"Participants arranged figurines as they remember after turning 90 degrees (""Animals in a Row"" task) after being trained to do so in the geocentric manner using terms toward the sunset and sunrise. ",ObjectPlacement+Accuracy,small,allo,allo,good,The percent correct on the test trials were compared with the performance of the Tseltal-speaking children in the Ego to-Geo condition from Experiment 1. Participants in Experiment 2 (73.44% correct) did better than Experiment 1 (53.26% correct). The post-experiment language assessment revealed that these children had not fully acquired the left/right terms when asked to describe the orientation of a doll as they pleased.,Ortega,English,2,,Mexico,"Tenejapa, Chiapas, Mexico",,urbans,2,Tseltal,,tzt,,,Tseltal-speaking children between the ages of seven to ten,mean age 7.88 years; SD = .62,tested under same conditions as Experiment 1 to remain consistent in comparison,,16,16,16,
Space,"Adamou, Shen",2017,Beyond language shift: spatial cognition among the Ixcatecs in Mexico,Journal of Cognition and Culture,Journal,"Adamou, E., & Shen, X. R. (2017). Beyond language shift: spatial cognition among the Ixcatecs in Mexico. Journal of Cognition and Culture, 17(1-2), 94-115.",Which FoRs are preferred by monolingual spanish speaker in Santa María Ixcatlán?,"Participants arranged 3 items as they remember after turning 180 degrees (version of ""Animals in a Row"" task.) The objects are placed on a chair. ",ObjectPlacement,small,allo,ego/allo,,"Intrinsic FoR highly favored over geocentric and egocentric. Geo preferred only slightly higher than ego. However, significant influence of location on FoR preference: egocentric preferred indoors and geocentric preferred outdoors. Influence of Education with significantly more participants with secondary education choosing the geocentric frame. Influence of Education with significantly more participants with secondary education choosing the geocentric frame.",Ortega,English,1,,Mexico,"Santa María Ixcatlán, Oaxaca, Mexico",,rural,3,Spanish,,spa,,,monolingual spanish speaking Ixcatecs adults,"19 under 30yrs old, 12 aged 31-60, and 6 over 61yrs old. 17 men & 20 women. 23 participants attended at most primary school and 13 completed secondary education.",,,37,37,0,
